,Unnamed: 0,latitude,longitude,neighborhood,seller_id,seller_city,seller_state,real_estate_agency,seller_cancelations,seller_claims,seller_handling_time,seller_sales,currency_id,item_condition,has_air_conditioning,bedrooms,covered_area,full_bathrooms,rooms,total_area,operation,property_type,food_and_drinks_stores,spa,transport_facilities,parking,school_universities,airports,hospitals,retail_stores,laundry,gym,pet_services,car_services,culture_and_entertainment,house_services,public_forces,banks_atms,green_spaces,funerary_services,dist_to_popular_neighborhood,Cocheras,Cantidad de pisos,Disposición,Antigüedad,img_count,description,real_neighborhood,Antigüedad_discretizada,has_pool,has_terrace,has_jacuzzi,has_washer,has_gym,has_cochera,has_amenities,has_elevator,has_parquet_floor,has_security,has_service_dependency,is_luminous,is_recycled,needs_recycling,has_underfloor_heating,was_revaluated,allows_pets,tipo_inmueble,comuna_caba,avg_crime,close_places,expensas_discretizadas,price,pred_price
1996,36860,-34.553146,-58.467937,27,469882975.0,23,0,True,0.0,0.0,0.0,0.0,0,0,False,1.0,41.0,1.0,2.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,24351,1.0,10.0,0,0.0,19.0,29321,19,0,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,1,13,9387.333333333334,3,3,167000.0,105704.32924386724
1997,45139,-34.62416,-58.44408,12,200130914.0,79,1,True,0.0,0.0,0.0,0.0,0,1,False,2.0,65.0,1.0,3.0,70.0,0,0,3,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,4543,0.0,7.0,0,52.0,23.0,9191,7,3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,6,7021.333333333333,12,2,119000.0,124826.6480067987
1998,21126,-34.59757,-58.37929,43,582157337.0,256,1,True,0.0,0.0,0.0,0.0,0,0,False,1.0,47.0,1.0,1.0,66.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475,1.0,7.0,0,0.0,18.0,19233,28,0,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,1,1,24616.0,3,3,163537.0,103274.4838928017
1999,2611,-34.650604,-58.501015,23,91943136.0,220,1,True,0.0,0.0,0.0,0.0,0,1,False,3.0,134.0,2.0,4.0,144.0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,3,0,0,13229,0.0,4.0,1,55.0,9.0,31477,15,3,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,1,9,9462.666666666666,8,1,180000.0,129046.31368831167
2000,30510,-34.603638,-58.455017,51,366914666.0,389,1,True,0.0,0.0,0.0,0.0,0,1,False,0.0,37.0,1.0,1.0,38.0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1832,0.0,5.0,2,1.0,12.0,41831,35,0,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,1,15,9496.0,5,2,89500.0,85575.36470088254
2001,57849,-34.57318,-58.44353,5,50125271.0,64,1,False,0.0,0.0,0.0,4.0,0,1,False,2.0,66.0,2.0,3.0,73.0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,12045,1.0,7.0,2,23.0,14.0,13716,10,2,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,1,13,9387.333333333334,8,0,189000.0,122454.71355379802
2002,9872,-34.640972,-58.513855,22,247048859.0,196,1,True,0.0,0.0,0.0,0.0,0,0,False,0.0,30.0,1.0,2.0,35.0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,30435,1.0,5.0,2,0.0,18.0,19106,14,0,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,1,9,9462.666666666666,6,1,86000.0,93201.42335353539
2003,15594,-34.611908,-58.516235,53,208789836.0,33,1,True,0.0,0.0,0.0,0.0,0,0,False,2.0,64.0,2.0,3.0,155.0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,33099,1.0,5.0,2,0.0,24.0,7731,37,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,2,11,8023.333333333333,6,1,239900.0,127176.33268759014
2004,19825,-34.665035,-58.474583,55,379947857.0,220,1,True,0.0,0.0,0.0,0.0,0,1,False,4.0,83.0,2.0,5.0,83.0,0,0,2,0,0,0,2,0,2,4,0,1,0,0,0,0,0,0,0,0,221,1.0,6.0,1,30.0,22.0,18003,39,2,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,1,8,10510.666666666666,11,2,89000.0,124664.89218614709
2005,52521,-34.58304,-58.414356,29,192532554.0,345,1,True,0.0,0.0,0.0,0.0,0,1,False,3.0,130.0,2.0,4.0,140.0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,2,0,19169,0.0,7.0,1,24.0,11.0,20496,20,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,14,12654.333333333334,10,2,380000.0,127917.23829966331
2006,56585,-34.557426,-58.455944,5,225003285.0,357,0,True,0.0,0.0,0.0,0.0,0,1,False,1.0,50.0,1.0,2.0,50.0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,3,0,0,1,0,0,14132,0.0,1.0,0,50.0,13.0,13191,4,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,13,9387.333333333334,9,1,149000.0,91082.85030772004
2007,37900,-34.602116,-58.417046,1,325009533.0,363,1,True,0.0,0.0,0.0,0.0,0,1,False,1.0,33.0,1.0,2.0,35.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27463,0.0,6.0,2,57.0,22.0,5501,1,3,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1,5,8856.0,4,1,54000.0,81778.97087409806
